Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,unique_movies,weighted_average
Nai Maa,1960,120,5.0,1,89,5,Nai Maa hindi 1960,5.562523510971787
Anbe Aruyere,1975,169,6.0,5,0,16,Anbe Aruyere tamil 1975,5.668289124668435
Nirjan Saikate,1963,130,7.3,60,8,2,Nirjan Saikate bengali 1963,6.856487867177522
Ithile Vannavar,1980,120,5.0,1,0,9,Ithile Vannavar malayalam 1980,5.562523510971787
Pusher,2010,107,6.2,628,168,19,Pusher urdu 2010,6.180239625949737
Main Zinda Hoon,1988,120,7.8,50,8,5,Main Zinda Hoon hindi 1988,7.14613404565323
Urmila,2020,120,5.0,1,218,9,Urmila malayalam 2020,5.562523510971787
Veera Bhadran,1979,120,5.0,1,0,9,Veera Bhadran malayalam 1979,5.562523510971787
Aparoopa,1982,124,5.4,10,8,1,Aparoopa assamese 1982,5.528242491657398
Ee Snehatheerathu,2004,131,5.6,16,819,9,Ee Snehatheerathu malayalam 2004,5.593932898415656
Aagantuka,1986,115,6.4,18,824,6,Aagantuka kannada 1986,5.963474801061008
Dil Deke Dekho,1959,187,7.1,144,1519,5,Dil Deke Dekho hindi 1959,6.907730407523511
F.I.R,1999,147,6.5,202,16,9,F.I.R malayalam 1999,6.414239987629504
Bijili Aur Toofan,1988,120,5.0,1,1,5,Bijili Aur Toofan hindi 1988,5.562523510971787
Jhooti Mohabbat,2005,120,5.0,1,24,5,Jhooti Mohabbat hindi 2005,5.562523510971787
Rahoh Mein Pada Patthar Hoon,1970,120,5.0,1,8,5,Rahoh Mein Pada Patthar Hoon hindi 1970,5.562523510971787
Bagawat,1995,147,6.6,8,8,13,Bagawat punjabi 1995,5.868121284185493
Jagir,1984,135,6.3,154,128,5,Jagir hindi 1984,6.21471724137931
Ravi Kisan,2008,120,5.0,1,1,3,Ravi Kisan bhojpuri 2008,5.562523510971787
The Other Worldcup,0,120,5.0,1,7822,11,The Other Worldcup nepali 0,5.562523510971787
Kanneri,2020,120,5.0,1,8,6,Kanneri kannada 2020,5.562523510971787
Parwaaz Hai Junoon,2018,130,8.0,1486,11925,19,Parwaaz Hai Junoon urdu 2018,7.966407111639932
