Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,unique_movies,weighted_average
Dr. Shaitan,1960,120,5.0,1,0,5,Dr. Shaitan hindi 1960,5.562523510971787
Nadir Khan,1968,120,5.0,1,0,19,Nadir Khan urdu 1968,5.562523510971787
Apna Sapna Money Money,2006,134,5.3,1892,51519,5,Apna Sapna Money Money hindi 2006,5.303175910737783
Aag Aur Sholay,1987,120,2.2,20,0,19,Aag Aur Sholay urdu 1987,3.935988225399496
Parivar,1956,120,7.4,21,589,5,Parivar hindi 1956,6.494655172413793
Humraah: The Traitor,2008,120,5.0,1,24,5,Humraah: The Traitor hindi 2008,5.562523510971787
Jacqueline I Am Coming,2019,112,7.9,16,8,5,Jacqueline I Am Coming hindi 2019,6.588527493010251
A Mighty Heart,2007,108,6.6,26885,4812,19,A Mighty Heart urdu 2007,6.599211161720113
Midnight Mail,1939,120,5.0,1,1,5,Midnight Mail hindi 1939,5.562523510971787
Raktalekha,1992,175,6.3,12,8,2,Raktalekha bengali 1992,5.847742946708464
Veedevadandi Babu,1997,138,5.6,218,5,17,Veedevadandi Babu telugu 1997,5.599060741595729
A Mayalu Timi Lai,2018,120,5.0,1,2114,11,A Mayalu Timi Lai nepali 2018,5.562523510971787
Da Tang Xuan Zang,2016,90,6.2,379,412,15,Da Tang Xuan Zang sanskrit 2016,6.167938793103449
Sikandar,1976,120,5.0,1,0,5,Sikandar hindi 1976,5.562523510971787
Pehla Qadam,1958,120,5.0,1,0,19,Pehla Qadam urdu 1958,5.562523510971787
Amman Koil Kizhakkaalae,1986,141,6.9,63,8,16,Amman Koil Kizhakkaalae tamil 1986,6.572327586206897
Shatru,2013,120,4.5,11,124,6,Shatru kannada 2013,5.214859913793104
Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017,5,5.0,1,2114,11,Kamal Khatri Feat. Simpal Kharel: Jaula Relaima nepali 2017,5.562523510971787
Zinda Jala Doonga,1988,120,5.0,1,1,5,Zinda Jala Doonga hindi 1988,5.562523510971787
Tukaram,2012,156,7.3,231,4812,10,Tukaram marathi 2012,7.157442528735633
Ramante Edenthottam,2017,122,6.0,459,5819,9,Ramante Edenthottam malayalam 2017,5.982032327586207
Faslah,1974,120,5.0,1,6819,5,Faslah hindi 1974,5.562523510971787
Jawani Ki Ghabrahat,1991,120,5.0,1,24,5,Jawani Ki Ghabrahat hindi 1991,5.562523510971787
Anbu Chinnam,1990,120,5.0,1,0,16,Anbu Chinnam tamil 1990,5.562523510971787
Naveed,2020,57,5.0,1,7,19,Naveed urdu 2020,5.562523510971787
Ramudu Bheemudu,1988,141,5.0,1,8,17,Ramudu Bheemudu telugu 1988,5.562523510971787
Vaade Kavali,2009,120,5.0,1,19,17,Vaade Kavali telugu 2009,5.562523510971787
Aakhri Muqabla,1978,120,5.0,1,1,5,Aakhri Muqabla hindi 1978,5.562523510971787
Dracula,1999,92,4.1,16,13,5,Dracula hindi 1999,4.945284249767008
Jahanara,1935,120,5.0,1,0,5,Jahanara hindi 1935,5.562523510971787
Geet,1970,120,7.1,98,1615,5,Geet hindi 1970,6.83340770791075
Sej Piya Ki,1985,120,5.0,1,8,5,Sej Piya Ki hindi 1985,5.562523510971787
Sati Sita Luv Kush,1981,120,5.0,1,8,5,Sati Sita Luv Kush hindi 1981,5.562523510971787
Nuvvu Vasthavani,2000,158,6.6,160,919,17,Nuvvu Vasthavani telugu 2000,6.482737664317013
Jam,0,120,5.0,1,8,2,Jam bengali 0,5.562523510971787
Madadgaar,1987,120,5.4,11,168,5,Madadgaar hindi 1987,5.524234913793103
Hamra Se Biyah Karba,2003,120,5.0,1,8,3,Hamra Se Biyah Karba bhojpuri 2003,5.562523510971787
Milan Ki Raat,1967,120,4.4,7,819,5,Milan Ki Raat hindi 1967,5.29198275862069
Bhool Bhulaiyan,1933,120,6.0,6,5,5,Bhool Bhulaiyan hindi 1933,5.680574712643679
Saajan Chale Sasural,1996,134,6.0,1312,58,5,Saajan Chale Sasural hindi 1996,5.993530020436143
Khaleja,2010,170,7.6,8284,1510,17,Khaleja telugu 2010,7.594915775706367
Rogue,2017,134,5.1,118,124,6,Rogue kannada 2017,5.173924584470354
Shaan,0,166,5.0,1,1,5,Shaan hindi 0,5.562523510971787
Bhale Bullodu,1995,120,5.0,1,8,17,Bhale Bullodu telugu 1995,5.562523510971787
Jaal,1973,120,5.0,1,15,19,Jaal urdu 1973,5.562523510971787
Yuvakudu,2000,145,6.9,110,19,17,Yuvakudu telugu 2000,6.689889444590682
Goolihatti,2015,156,5.0,1,8,6,Goolihatti kannada 2015,5.562523510971787
Hamara Ghar,1950,120,5.0,1,0,5,Hamara Ghar hindi 1950,5.562523510971787
Olessia,2019,120,8.1,40,815,9,Olessia malayalam 2019,7.235664217071792
Prohibited,2015,12,8.2,25,21824,19,Prohibited urdu 2015,7.008163418290854
Sunday,2008,135,5.3,2592,1516,5,Sunday hindi 2008,5.3023251118413235
The Destiny,0,120,5.0,1,4,5,The Destiny hindi 0,5.562523510971787
Spy in Goa,1966,120,5.0,1,124,5,Spy in Goa hindi 1966,5.562523510971787
Time to Dance,2021,113,1.3,406,1519,5,Time to Dance hindi 2021,1.5109496890898813
Gopi Kishan,1994,161,5.5,805,158,5,Gopi Kishan hindi 1994,5.502270601987142
Nigahen: Nagina Part II,1989,140,5.2,286,8910,5,Nigahen: Nagina Part II hindi 1989,5.2266303493204544
Dobara Phir Se,2016,127,6.6,427,8,19,Dobara Phir Se urdu 2016,6.552623922413793
Pagaivan,1997,142,5.2,82,15,16,Pagaivan tamil 1997,5.2793739537998
Red Alert: The War Within,2009,120,6.4,337,1824,5,Red Alert: The War Within hindi 2009,6.3524455788865355
Adhikar,1938,132,5.0,1,0,5,Adhikar hindi 1938,5.562523510971787
Hasta Melapa,1969,120,5.0,1,8,4,Hasta Melapa gujarati 1969,5.562523510971787
Gangavatarana,1984,120,5.0,1,0,17,Gangavatarana telugu 1984,5.562523510971787
Amnol Sahara,1952,120,5.0,1,8,5,Amnol Sahara hindi 1952,5.562523510971787
Waqt Ka Shahenshah,1987,120,4.9,11,1,5,Waqt Ka Shahenshah hindi 1987,5.352359913793103
Coffee Bloom,2015,90,5.9,101,8,5,Coffee Bloom hindi 2015,5.84652063312606
Laila Majnu,1976,140,7.2,259,81519,12,Laila Majnu oriya 1976,7.079198275862069
Vidiyum Munn,2013,129,7.4,434,24,16,Vidiyum Munn tamil 2013,7.316429708222812
Olappeeppi,2016,121,7.6,120,8,9,Olappeeppi malayalam 2016,7.300535583272194
Duniya Ke Rangeen Raatein,1997,120,5.0,1,8,5,Duniya Ke Rangeen Raatein hindi 1997,5.562523510971787
Timi Sanga,2018,120,6.1,11,19,11,Timi Sanga nepali 2018,5.764859913793103
Oho Naa Pellanta,1996,120,6.2,19,5,17,Oho Naa Pellanta telugu 1996,5.879387931034483
Ivanu Thumba Orata,2009,120,5.0,1,8,6,Ivanu Thumba Orata kannada 2009,5.562523510971787
Apnapan,1977,133,6.5,73,819,5,Apnapan hindi 1977,6.296548055759354
Saath Laakh,1957,125,5.0,1,1519,19,Saath Laakh urdu 1957,5.562523510971787
Insaan,1966,120,5.0,1,0,19,Insaan urdu 1966,5.562523510971787
Takrav,2018,120,5.0,1,119,3,Takrav bhojpuri 2018,5.562523510971787
Highway,2014,133,7.6,26801,6819,5,Highway hindi 2014,7.598425751891781
Pratipaksha,1988,108,6.9,8,18,2,Pratipaksha bengali 1988,5.950879904875149
Har Raat Naya Khiladi,1990,120,5.0,1,24,5,Har Raat Naya Khiladi hindi 1990,5.562523510971787
Naanaage Naanillai,2016,120,5.0,1,8,16,Naanaage Naanillai tamil 2016,5.562523510971787
Atma Tarang,1937,120,5.0,1,0,5,Atma Tarang hindi 1937,5.562523510971787
Dehorokkhi: The Bodyguard,2013,167,6.8,402,1,2,Dehorokkhi: The Bodyguard bengali 2013,6.739894839814135
Beru,2005,104,8.3,19,8,6,Beru kannada 2005,6.876887931034483
Paigham,1988,168,5.0,1,10,5,Paigham hindi 1988,5.562523510971787
Akela,0,120,5.0,1,8,5,Akela hindi 0,5.562523510971787
The Rubiks game,2014,30,5.0,1,2124,9,The Rubiks game malayalam 2014,5.562523510971787
Anthervedam,2018,120,5.0,1,24,17,Anthervedam telugu 2018,5.562523510971787
Enakkul Oru Kadhal,2009,97,5.0,1,8,16,Enakkul Oru Kadhal tamil 2009,5.562523510971787
Samsara Nauka,1989,120,5.0,1,0,6,Samsara Nauka kannada 1989,5.562523510971787
Patthe Bapurao,1950,143,5.0,1,0,10,Patthe Bapurao marathi 1950,5.562523510971787
Vida Parayaanmathram,1988,120,5.0,1,0,9,Vida Parayaanmathram malayalam 1988,5.562523510971787
White,2016,149,3.0,471,19,9,White malayalam 2016,3.1105193439865433
Sayahnam,2000,120,7.0,10,0,9,Sayahnam malayalam 2000,6.044371523915462
Preetam,2021,120,9.0,15,19,10,Preetam marathi 2021,7.010431034482759
Britto,2014,124,7.5,12,8,2,Britto bengali 2014,6.284106583072101
Amrutha Geetham,1982,120,5.0,1,0,9,Amrutha Geetham malayalam 1982,5.562523510971787
Pyar Ka Jigar,2003,120,5.0,1,19,5,Pyar Ka Jigar hindi 2003,5.562523510971787
Stalin Sivadas,1999,118,2.7,47,124,9,Stalin Sivadas malayalam 1999,3.592287018255578
Dheeran,1987,120,5.0,1,0,9,Dheeran malayalam 1987,5.562523510971787
Gopichand Jasoos,1982,150,5.9,123,524,5,Gopichand Jasoos hindi 1982,5.854691091954023
Vikrant Rona,2021,120,5.0,1,1210,6,Vikrant Rona kannada 2021,5.562523510971787
Joy: The Real Love Story,2007,127,2.1,1601,81924,5,Joy: The Real Love Story hindi 2007,2.145176027892343
Dharavi,1992,120,7.1,282,68,5,Dharavi hindi 1992,6.995298736770228
Kamadhenu,1976,120,5.0,1,0,9,Kamadhenu malayalam 1976,5.562523510971787
Sansarer Itikatha,1983,120,5.0,1,8,2,Sansarer Itikatha bengali 1983,5.562523510971787
Shani Arshad: Adha Adha,2019,5,5.0,1,2114,19,Shani Arshad: Adha Adha urdu 2019,5.562523510971787
Noces,2016,98,7.1,1360,8,12,Noces oriya 2016,7.077027890833728
Tu Heer Main Tera Hero,2021,120,5.0,1,5,19,Tu Heer Main Tera Hero urdu 2021,5.562523510971787
Madi Veetu Ezhai,1981,120,5.0,1,0,16,Madi Veetu Ezhai tamil 1981,5.562523510971787
Khoobsurat Kali,2003,120,5.0,1,24,5,Khoobsurat Kali hindi 2003,5.562523510971787
Puthayal,1997,144,5.9,51,0,16,Puthayal tamil 1997,5.809382183908046
Urimai,1985,120,5.0,1,0,16,Urimai tamil 1985,5.562523510971787
Babai Abbai,1984,117,6.3,102,519,17,Babai Abbai telugu 1984,6.178662741799831
Yaar Meri Zindagi,2008,120,4.8,39,8915,5,Yaar Meri Zindagi hindi 2008,5.076258620689655
Denied: A Life Confined,2013,22,5.0,1,7,11,Denied: A Life Confined nepali 2013,5.562523510971787
Jhoomar,2007,120,6.9,7,0,12,Jhoomar oriya 2007,5.91698275862069
Hututu,2014,138,5.0,5,5,10,Hututu marathi 2014,5.475981432360744
Parchhaeen,1989,120,5.0,1,24,5,Parchhaeen hindi 1989,5.562523510971787
Chettathi,1965,120,5.0,1,0,6,Chettathi kannada 1965,5.562523510971787
Sharda,1981,126,5.5,19,89,5,Sharda hindi 1981,5.546887931034483
Satyanweshi Byomkesh,2019,108,6.5,267,61624,2,Satyanweshi Byomkesh bengali 2019,6.4335955459770116
Mahan,1996,132,6.0,8,89,2,Mahan bengali 1996,5.7026040428061835
Takht-O-Taj,1970,120,5.0,1,0,19,Takht-O-Taj urdu 1970,5.562523510971787
Death Match,0,120,5.0,1,1224,11,Death Match nepali 0,5.562523510971787
Kanthaswamy,2009,190,5.0,1567,16,16,Kanthaswamy tamil 2009,5.007793146877443
Vishwa Thulasi,2004,120,6.1,32,81519,16,Vishwa Thulasi tamil 2004,5.89765126870527
Saakshyam,2018,166,4.7,437,1,17,Saakshyam telugu 2018,4.740776238518296
Circus Queen,1959,120,5.0,1,1,5,Circus Queen hindi 1959,5.562523510971787
"Haseena: Smart, Sexy, Dangerous",2006,120,5.0,1,24,5,"Haseena: Smart, Sexy, Dangerous hindi 2006",5.562523510971787
Seemana,1996,120,8.9,8,18,11,Seemana nepali 1996,6.502604042806183
Weather Report,2017,91,5.0,1,8,10,Weather Report marathi 2017,5.562523510971787
Shutter,2012,133,7.7,1017,24,9,Shutter malayalam 2012,7.657298186167033
Maithaanam,2011,125,5.9,7,8916,16,Maithaanam tamil 2011,5.66698275862069
Sons of Ram,2012,85,6.6,76,3815,16,Sons of Ram tamil 2012,6.381190899395663
Duti Mon,2011,120,5.0,1,8,2,Duti Mon bengali 2011,5.562523510971787
Swapna Lokam,1999,120,5.0,1,19,17,Swapna Lokam telugu 1999,5.562523510971787
Pattalam,2003,159,5.1,316,158,9,Pattalam malayalam 2003,5.130491149084212
The Twelve Thousand,2020,28,5.0,1,218,11,The Twelve Thousand nepali 2020,5.562523510971787
Indulekha (Malayalam),2020,22,5.0,1,8,9,Indulekha (Malayalam) malayalam 2020,5.562523510971787
Sukham Sukhakaram,1994,120,5.0,1,0,9,Sukham Sukhakaram malayalam 1994,5.562523510971787
Santa,1961,120,5.0,1,8,17,Santa telugu 1961,5.562523510971787
Mullamottum Munthiricharum,2012,120,4.3,14,8,9,Mullamottum Munthiricharum malayalam 2012,5.073586206896552
Fired,2010,87,4.4,260,13,5,Fired hindi 2010,4.488880844275371
Dillagi,1999,188,5.3,1068,81519,5,Dillagi hindi 1999,5.305578987365821
Nesi,2009,120,5.0,1,8,16,Nesi tamil 2009,5.562523510971787
Kaana Kanmani,2009,132,4.4,106,813,9,Kaana Kanmani malayalam 2009,4.596657616073853
Bhagwaan Dada,1986,147,4.3,167,824,5,Bhagwaan Dada hindi 1986,4.444018708730741
A 2nd Hand Lover,2015,135,5.0,1,19,6,A 2nd Hand Lover kannada 2015,5.562523510971787
Sampoorna Sant Darshanam,1978,120,5.0,1,8,5,Sampoorna Sant Darshanam hindi 1978,5.562523510971787
Avar Enakke Sontham,1977,66,5.0,1,0,16,Avar Enakke Sontham tamil 1977,5.562523510971787
Dharti ke God Mein,1971,120,5.0,1,8,5,Dharti ke God Mein hindi 1971,5.562523510971787
Valar Pirai,1962,120,5.0,1,0,16,Valar Pirai tamil 1962,5.562523510971787
Shaitaan: A Vision of Madness,2018,65,5.0,1,24,5,Shaitaan: A Vision of Madness hindi 2018,5.562523510971787
Haaru Hakkiyaneri,2010,120,5.0,1,8,6,Haaru Hakkiyaneri kannada 2010,5.562523510971787
Payal Ki Jhankar,1968,132,4.4,12,125,5,Payal Ki Jhankar hindi 1968,5.156833855799373
Juniors,2003,120,5.2,13,19,17,Juniors telugu 2003,5.440456389452333
Palkon Ki Chhaon Mein,1977,127,7.5,65,819,5,Palkon Ki Chhaon Mein hindi 1977,7.033436246992782
Dil Ka Sathi Dil,1982,120,6.7,18,19,5,Dil Ka Sathi Dil hindi 1982,6.101936339522546
Mounamelanoyi,2002,154,6.7,16,19,17,Mounamelanoyi telugu 2002,6.069608574091333
Punar Milan,1940,120,5.0,1,819,5,Punar Milan hindi 1940,5.562523510971787
Maa Shakti,2002,120,8.4,15,12,9,Maa Shakti malayalam 2002,6.760431034482759
Let's Break Up,2020,120,5.0,1,0,6,Let's Break Up kannada 2020,5.562523510971787
HIRER SHIKAL,1988,126,5.0,1,819,2,HIRER SHIKAL bengali 1988,5.562523510971787
Mohanlal,2018,150,4.5,507,5,9,Mohanlal malayalam 2018,4.543324843260188
Dharti Ke Lal,1950,125,6.4,16,812,5,Dharti Ke Lal hindi 1950,5.939878844361603
Angadipattu,2018,23,5.0,1,5,9,Angadipattu malayalam 2018,5.562523510971787
Golmaal Returns,2008,135,5.1,7115,5616,5,Golmaal Returns hindi 2008,5.101439954770373
The Journey Within,2015,78,7.0,35,714,12,The Journey Within oriya 2015,6.4709913793103455
Janma Bhoomi,1995,120,8.0,6,8,11,Janma Bhoomi nepali 1995,6.125019157088123
Inspector Gullu,2018,124,6.8,32,1,5,Inspector Gullu hindi 2018,6.3202927781392315
Deiva Thirumagal,2011,166,8.1,4954,8,16,Deiva Thirumagal tamil 2011,8.089402114018368
Aaj Ka Inteqaam,1991,120,5.0,1,24,5,Aaj Ka Inteqaam hindi 1991,5.562523510971787
Tuch Khari Gharchi Laxmi,2011,115,5.0,1,8,10,Tuch Khari Gharchi Laxmi marathi 2011,5.562523510971787
Pataas,2015,127,6.7,758,15,17,Pataas telugu 2015,6.670058430348369
Ram,2022,120,5.0,1,1624,9,Ram malayalam 2022,5.562523510971787
Monagadu,1976,151,5.0,1,68,17,Monagadu telugu 1976,5.562523510971787
Kala Dhanda Goray Log,1986,158,5.7,35,89,5,Kala Dhanda Goray Log hindi 1986,5.6584913793103455
Vishwaguru,2017,120,5.0,1,4,9,Vishwaguru malayalam 2017,5.562523510971787
Thappad,2020,142,6.8,14626,8,5,Thappad hindi 2020,6.79826418496903
Talentime,2009,120,6.8,183,8,16,Talentime tamil 2009,6.67537018255578
Maan Bhi Jao Sanam,2018,49,5.0,1,5,19,Maan Bhi Jao Sanam urdu 2018,5.562523510971787
Shah,2015,109,8.5,1392,4822,19,Shah urdu 2015,8.456741342704444
Harsha Varsha Jayaraj,2020,120,8.0,6,215,9,Harsha Varsha Jayaraj malayalam 2020,6.125019157088123
Yeh Kaise Hua,1984,120,5.0,1,0,19,Yeh Kaise Hua urdu 1984,5.562523510971787
Adavukal Pathinettu,1978,120,5.0,1,0,9,Adavukal Pathinettu malayalam 1978,5.562523510971787
Bhale Papa,1971,120,5.0,1,0,17,Bhale Papa telugu 1971,5.562523510971787
Raakhi Ki Saugandh,1979,120,5.0,1,168,5,Raakhi Ki Saugandh hindi 1979,5.562523510971787
Khara Varasdar,1986,120,5.0,1,8,10,Khara Varasdar marathi 1986,5.562523510971787
Lakhon Fasane,1961,120,5.0,1,8,19,Lakhon Fasane urdu 1961,5.562523510971787
Vallam Kali,0,86,5.0,1,7,9,Vallam Kali malayalam 0,5.562523510971787
Qissa: The Tale of a Lonely Ghost,2013,109,6.7,896,81013,13,Qissa: The Tale of a Lonely Ghost punjabi 2013,6.674564359041853
Amma I Love You,2018,147,7.4,55,8,6,Amma I Love You kannada 2018,6.899677858439201
Kahi Katai,2018,120,5.0,1,9,11,Kahi Katai nepali 2018,5.562523510971787
Adhiktam,2020,45,5.0,1,15,5,Adhiktam hindi 2020,5.562523510971787
Oru Vasantha Geetham,1994,120,4.7,9,0,16,Oru Vasantha Geetham tamil 1994,5.322517241379311
Ishq Ishq,1977,120,3.4,23,15,19,Ishq Ishq urdu 1977,4.444898119122257
Aata Hoti Geli Kuthe,1991,120,5.0,1,5,10,Aata Hoti Geli Kuthe marathi 1991,5.562523510971787
123,2002,127,5.7,59,5,17,123 telugu 2002,5.670943965517242
Saajan Ki Saheli,1981,120,5.5,44,98,5,Saajan Ki Saheli hindi 1981,5.528854111405836
Chanakya,2019,147,5.4,492,1224,9,Chanakya malayalam 2019,5.407749546279493
Khaan Dost,1976,157,5.6,38,168,5,Khaan Dost hindi 1976,5.596195207481005
Kalsandhya,1997,124,7.8,11,8,1,Kalsandhya assamese 1997,6.3492349137931035
Ippadikku En Kadhal,2007,115,5.0,1,8,16,Ippadikku En Kadhal tamil 2007,5.562523510971787
Chottanikkara Amma,1976,132,6.6,8,8,9,Chottanikkara Amma malayalam 1976,5.868121284185493
Sutradhaarulu,1990,120,8.1,55,815,17,Sutradhaarulu telugu 1990,7.406256805807622
Butter & Cheese,2014,13,5.0,1,219,11,Butter & Cheese nepali 2014,5.562523510971787
That Girl in Yellow Boots,2010,103,6.6,3574,6816,6,That Girl in Yellow Boots kannada 2010,6.594096110498297
Aanamuttathe Aangalamar,2000,108,5.0,1,58,9,Aanamuttathe Aangalamar malayalam 2000,5.562523510971787
Jhankar,1942,120,5.0,1,0,5,Jhankar hindi 1942,5.562523510971787
Ira Thedunna Manushyar,1981,120,5.0,1,0,9,Ira Thedunna Manushyar malayalam 1981,5.562523510971787
Aideu,2007,91,5.0,1,0,1,Aideu assamese 2007,5.562523510971787
American Desi,2001,100,6.6,1583,5819,5,American Desi hindi 2001,6.586767778828789
Chettayees,2012,120,4.7,134,9,9,Chettayees malayalam 2012,4.820487208008899
Ambalakkara Panchayath,1988,120,5.0,1,0,9,Ambalakkara Panchayath malayalam 1988,5.562523510971787
Khape,0,120,5.0,1,8,4,Khape gujarati 0,5.562523510971787
Supportive Men,2014,21,5.0,1,7219,11,Supportive Men nepali 2014,5.562523510971787
Vivash,0,120,5.0,1,0,5,Vivash hindi 0,5.562523510971787
 Alif Laila,1997,120,5.0,1,210,19, Alif Laila urdu 1997,5.562523510971787
Poila April,2021,120,5.0,1,8,2,Poila April bengali 2021,5.562523510971787
Bachelor Husband,1950,120,5.0,1,0,5,Bachelor Husband hindi 1950,5.562523510971787
Oru Nadigai Natakam Pakiral,1978,131,6.2,12,0,16,Oru Nadigai Natakam Pakiral tamil 1978,5.811379310344828
Dunia Gol Hai,1974,120,5.0,1,0,19,Dunia Gol Hai urdu 1974,5.562523510971787
Chalta Purza,1958,120,5.0,1,10,5,Chalta Purza hindi 1958,5.562523510971787
Hichki,2018,116,7.5,10905,58,5,Hichki hindi 2018,7.496327614611146
Lover Boy,1985,120,4.1,19,819,5,Lover Boy hindi 1985,4.881887931034482
Babul,1986,162,4.8,9,8,5,Babul hindi 1986,5.352517241379311
Babu,2020,26,5.0,1,218,11,Babu nepali 2020,5.562523510971787
Swabhimaan,2019,122,5.0,1,8,4,Swabhimaan gujarati 2019,5.562523510971787
Meera,1947,120,7.7,14,0,5,Meera hindi 1947,6.4335862068965515
Red Indians,2001,120,4.7,15,0,9,Red Indians malayalam 2001,5.218764367816092
Navabharata,1988,120,5.0,1,0,6,Navabharata kannada 1988,5.562523510971787
Tribhanga,2021,95,6.1,2406,89,5,Tribhanga hindi 2021,6.09558117727292
Sri Bannari Amman,2002,149,5.0,1,8,16,Sri Bannari Amman tamil 2002,5.562523510971787
Dear Love,2020,120,5.0,1,0,11,Dear Love nepali 2020,5.562523510971787
Apoorva Mahaan,2015,135,5.0,1,8,16,Apoorva Mahaan tamil 2015,5.562523510971787
Haidar Sultan,1982,120,5.0,1,18,13,Haidar Sultan punjabi 1982,5.562523510971787
3 Monkeys,2020,131,6.5,82,8,17,3 Monkeys telugu 2020,6.314325410110478
Carbon,2018,146,6.9,1115,224,9,Carbon malayalam 2018,6.875770701796989
Kaapalika,1973,131,7.8,5,0,9,Kaapalika malayalam 1973,6.014442970822282
Karunamayi,1987,137,5.0,1,0,6,Karunamayi kannada 1987,5.562523510971787
Phone Bhoot,2021,120,5.0,1,513,5,Phone Bhoot hindi 2021,5.562523510971787
Aag aur Angaray,1990,120,5.0,1,1,5,Aag aur Angaray hindi 1990,5.562523510971787
Athmasakhi,2016,120,5.0,1,0,9,Athmasakhi malayalam 2016,5.562523510971787
Vachikava,2014,120,5.0,1,8,16,Vachikava tamil 2014,5.562523510971787
Krishna Arjun,2004,120,5.0,1,1,5,Krishna Arjun hindi 2004,5.562523510971787
Rahi,1953,139,6.9,27,8,5,Rahi hindi 1953,6.32657327586207
Chaukat Raja,1991,141,7.4,214,9,10,Chaukat Raja marathi 1991,7.238193690388849
School Master,2010,143,5.0,1,8,6,School Master kannada 2010,5.562523510971787
Halla Gulla,2015,120,5.2,77,15,19,Halla Gulla urdu 2015,5.283423645320197
Monopoly the Game of Money,2012,120,5.0,1,24,5,Monopoly the Game of Money hindi 2012,5.562523510971787
Maga Maharaju,1983,120,6.8,30,5819,17,Maga Maharaju telugu 1983,6.301480730223124
Band Baaja Babuchak,2017,123,5.0,1,5,4,Band Baaja Babuchak gujarati 2017,5.562523510971787
Bebbuli Veta,1985,120,5.0,1,0,17,Bebbuli Veta telugu 1985,5.562523510971787
Gita,2008,120,5.0,1,8,17,Gita telugu 2008,5.562523510971787
Kusruthi Kuruppu,1998,135,5.8,40,58,9,Kusruthi Kuruppu malayalam 1998,5.727467495760317
Mr. and Mrs. Iyer,2002,120,7.9,4681,8,16,Mr. and Mrs. Iyer tamil 2002,7.889680033441382
 Siyaasat,2014,120,5.0,1,12,19, Siyaasat urdu 2014,5.562523510971787
Inth Ka Jawab Patthar,2002,120,3.2,9,151,5,Inth Ka Jawab Patthar hindi 2002,4.8725172413793105
Qalb,0,120,5.0,1,819,9,Qalb malayalam 0,5.562523510971787
Nisithe,1963,120,7.2,10,8,2,Nisithe bengali 1963,6.10888765294772
Cabbie,2019,19,5.0,1,2113,11,Cabbie nepali 2019,5.562523510971787
Advaitham,1991,181,7.0,275,168,9,Advaitham malayalam 1991,6.899917287977633
Maruppacha,1982,120,5.0,1,0,9,Maruppacha malayalam 1982,5.562523510971787
Kachehari,1994,120,6.4,14,1,13,Kachehari punjabi 1994,5.913586206896552
Kismet Road,2004,30,5.0,1,8,19,Kismet Road urdu 2004,5.562523510971787
Fever,2009,120,8.5,8,2110,11,Fever nepali 2009,6.392259215219977
Kaashi Amarnath,2017,162,4.7,11,1819,3,Kaashi Amarnath bhojpuri 2017,5.283609913793104
Afsana Dilwalon Ka,2001,195,3.6,1024,819,19,Afsana Dilwalon Ka urdu 2001,3.639976571522851
Paradise Street,0,120,5.0,1,51924,5,Paradise Street hindi 0,5.562523510971787
Namukkore Aakasham,2015,115,5.0,1,8,9,Namukkore Aakasham malayalam 2015,5.562523510971787
Argentina Fans Kaattoorkadavu,2019,140,4.7,319,822,9,Argentina Fans Kaattoorkadavu malayalam 2019,4.75492799188641
Mr. X,2015,133,3.8,1816,1820,5,Mr. X hindi 2015,3.8204548270230694
Nakhuda,1968,120,5.0,1,0,19,Nakhuda urdu 1968,5.562523510971787
Pakhandi,1984,138,6.5,26,8,5,Pakhandi hindi 1984,6.093096111518709
Ini Ethra Sandhyakal,1979,120,5.0,1,0,9,Ini Ethra Sandhyakal malayalam 1979,5.562523510971787
Bachchan,2013,145,6.6,926,1624,6,Bachchan kannada 2013,6.577587663401667
Desi Kattey,2014,139,4.0,125,1,5,Desi Kattey hindi 2014,4.228599433160132
Vaddante Dabbu,1954,139,6.6,10,58,17,Vaddante Dabbu telugu 1954,5.915339265850946
Nooran,1957,120,5.0,1,19,13,Nooran punjabi 1957,5.562523510971787
Murderer,1935,120,5.0,1,0,5,Murderer hindi 1935,5.562523510971787
Tharangam,2017,153,6.3,478,15,9,Tharangam malayalam 2017,6.270091216916592
Zunjar,2003,120,5.0,1,0,10,Zunjar marathi 2003,5.562523510971787
Pyase Nain,1989,120,5.0,1,8,5,Pyase Nain hindi 1989,5.562523510971787
Anokha Chamatkar,1988,120,5.0,1,8,5,Anokha Chamatkar hindi 1988,5.562523510971787
Vasudhaika 1957,2016,120,5.0,1,13,17,Vasudhaika 1957 telugu 2016,5.562523510971787
Insaan Aur Shaitan,1970,120,5.1,14,1,5,Insaan Aur Shaitan hindi 1970,5.393586206896551
Sapthagiri LLB,2017,138,7.2,56,58,17,Sapthagiri LLB telugu 2017,6.760721003134797
Prem Vidrohi,2012,120,5.0,1,1,3,Prem Vidrohi bhojpuri 2012,5.562523510971787
Manamantha,2016,164,7.7,840,8,17,Manamantha telugu 2016,7.64851976450799
August 2,2012,120,4.2,9,24,5,August 2 hindi 2012,5.17251724137931
Ponge Ezhu Manohara,2015,120,5.0,1,58,16,Ponge Ezhu Manohara tamil 2015,5.562523510971787
Maayon,0,120,5.0,1,1624,16,Maayon tamil 0,5.562523510971787
1:13:7 Ek Tera Saath,2016,120,5.7,57,13,5,1:13:7 Ek Tera Saath hindi 2016,5.670198938992043
Diyar Bhojai,1980,120,5.0,1,19,4,Diyar Bhojai gujarati 1980,5.562523510971787
